<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221208;110000;163.6700000;163.9900000;163.1200000;163.1200000;1341020
GAZP;60;20221208;120000;163.1200000;163.4000000;163.0200000;163.0900000;586860
GAZP;60;20221208;130000;163.1000000;163.5000000;162.7100000;163.0800000;1307730
GAZP;60;20221208;140000;163.0800000;163.2000000;162.8100000;162.9700000;688840
GAZP;60;20221208;150000;162.9800000;163.2000000;162.9300000;163.1000000;639150
GAZP;60;20221208;160000;163.1000000;163.1500000;162.9000000;162.9100000;666940
GAZP;60;20221208;170000;162.9300000;163.1100000;162.8000000;163.0000000;714430
GAZP;60;20221208;180000;163.0000000;163.4700000;162.9800000;163.2700000;844040
GAZP;60;20221208;190000;163.2600000;163.7500000;163.2500000;163.7500000;938800
GAZP;60;20221208;200000;163.4500000;163.7300000;163.3400000;163.4300000;381870
GAZP;60;20221208;210000;163.4000000;163.4400000;163.1000000;163.3400000;213380
GAZP;60;20221208;220000;163.3400000;163.4000000;163.0200000;163.1700000;174340
GAZP;60;20221208;230000;163.1600000;163.2100000;162.9400000;163.0700000;207300
GAZP;60;20221209;000000;163.0700000;163.1400000;162.9900000;163.0000000;131590
GAZP;60;20221209;110000;163.0000000;163.4800000;162.5000000;163.0000000;1594980
GAZP;60;20221209;120000;163.0000000;163.0000000;162.7500000;162.9600000;417520
GAZP;60;20221209;130000;162.9800000;163.0000000;162.8900000;162.9200000;366060
GAZP;60;20221209;140000;162.9400000;163.0000000;162.8400000;162.9900000;517160
GAZP;60;20221209;150000;162.9900000;163.0000000;162.9500000;162.9600000;540100
GAZP;60;20221209;160000;162.9700000;163.0000000;162.6700000;162.7000000;847030
GAZP;60;20221209;170000;162.6900000;162.9800000;162.4000000;162.7200000;1161460
GAZP;60;20221209;180000;162.7200000;162.9500000;162.7200000;162.9100000;358880
GAZP;60;20221209;190000;162.9200000;163.3500000;162.8700000;163.2900000;1122080
GAZP;60;20221209;200000;163.2900000;163.4000000;162.8900000;163.1200000;487840
GAZP;60;20221209;210000;163.1200000;163.1300000;162.8500000;162.9800000;213200
GAZP;60;20221209;220000;162.9800000;162.9800000;162.7500000;162.7900000;221140
GAZP;60;20221209;230000;162.7900000;162.9500000;162.7100000;162.8700000;210130
GAZP;60;20221210;000000;162.8800000;162.9000000;162.7400000;162.7500000;247320
GAZP;60;20221212;110000;163.2400000;163.8100000;162.0400000;162.3400000;3513640
GAZP;60;20221212;120000;162.3200000;162.3500000;162.0400000;162.2400000;840960
GAZP;60;20221212;130000;162.2400000;162.6800000;162.1600000;162.3500000;1079260
GAZP;60;20221212;140000;162.3500000;162.3600000;161.8500000;162.2700000;2112530
GAZP;60;20221212;150000;162.2700000;162.3900000;162.0700000;162.3900000;591560
GAZP;60;20221212;160000;162.3900000;162.9400000;162.1700000;162.8300000;1053820
GAZP;60;20221212;170000;162.8100000;163.5500000;162.6300000;163.4700000;1320480
